time(s) 50ms 40ms 30ms 20ms 2ms
91 26879.23 22997.2 12255.78 17256 30900.95
92 18139.1 21810.44 29494.45 32934.88 27444.12
93 13123.47 28465.27 6849.13 12784.59 17467.99
94 17742.2 18089.14 45869.02 24507.59 29336.96
95 23016.94 13016.89 24162.14 26718.12 36059.79
96 20635.31 21917.07 18580.58 37217.5 13150.2
97 12690.79 20333.56 8751.98 31117.9 31519.24
98 12370.69 30350.56 20497.65 22873.01 33313.9
99 20888.17 11263.33 20423.36 16844.79 38969.52
100 24982.5 17481.64 23432.57 24642.39 32338.19
101 7715.05 31558.12 21850.71 31277.44 20173.63
102 27585.79 22921.88 19224.96 19406.18 24054.38
103 24278.29 24100.79 28374.55 30327.32 25544.25
104 16947.98 18246.9 22951.33 18830.12 31185.82
105 17698.39 22365.97 27545.96 24998.91 22319.66
106 16336.78 19021.32 30197.59 16280.52 42007.43
107 20445.41 15069.75 15724.5 20371.17 16974.27
108 16639.71 18292.34 31524.1 24228.61 35345.52
109 27993.03 25125.18 13163.42 17842.82 29466.34
110 12057.89 20760.63 31066.58 17007.2 19716.23
111 11256.98 32762.92 12315.66 34064.98 29299.16
112 13447.96 14487.52 11480.47 21196.41 35574.68
113 18567.55 20474.41 30444.42 11283.74 27035.79
114 19680.03 27693.49 25993.71 17540.89 32522.05
115 18389.35 16752.54 17750.62 40008.32 27486.92
116 29942.84 19253.8 29243.46 23433.32 21183.73
117 14514.64 18639.67 15847.2 47241.41 14775.47
118 23216.01 19162.49 22915.7 24386.51 49414.92
119 25253.04 30219.53 20011.01 22600.49 37813.92
120 24612.98 27307.04 21128.19 25991.66 24032.47
121 18040.92 15503.13 18364.06 24473.5 25613.81
122 32339.17 19870.87 24128.06 12022.91 12578.77
123 15760.15 11246.59 17523.37 15809.09 39358.62
124 17878.93 26726 6599.38 19041.26 27424.29
125 15188.95 15455.66 24111.97 25364.31 32579.34
126 16496.94 23058.73 23819.6 12909.79 37189.82
127 28859.72 17747.94 11283.13 26307.03 37692.74
128 31105.86 18174.08 15806.91 23447.3 38560.58
129 28157.02 17593.98 18116.84 24687.19 34231.14
130 13989.7 19430.41 11363.98 32544.48 22597.02
131 16307.89 12112.78 14850.78 19944.36 38862.13
132 37971.37 22523.1 22547.79 24043.56 25874.51
133 24723.01 21029.01 10075.32 23972.24 35063.01
134 15611.35 14474.96 21564.68 14736.84 27458.25
135 20693.49 38572.56 28446.99 26040.97 26012.87
136 22294.72 16969.11 17978.14 20613.07 25761.71
137 21911.66 26071.91 11796.03 20264.52 17885.28
138 13854.2 21025.73 20739.64 19252.68 38173.48
139 13939.16 11148.35 19566.73 10090.3 47359.76
140 20621.3 14966.07 16654.95 23639.35 26065.43
141 20617.28 17512.85 11248.21 29794.77 28029.86
142 11576.97 27318.64 17623.1 23557.4 44970.31
143 17138.58 15189.13 11229.96 24360.46 26974.23
144 25687.49 21516.34 18508.31 15400.98 52727.01
145 16571.29 43211.97 27955.49 26599.6 22591.18
146 15497.08 15868.38 24768 32526.76 36381.1
147 20721.3 16942.63 27191.43 36141.85 32343.4
148 25739.94 28845.91 24475.93 16926.55 31730.07
149 23286.74 16013.13 29012.03 24067.17 20854.05
150 15265.86 17792.04 30200.72 24736.63 24986.9
151 24936.34 32146.12 17661.73 24902.53 21062.21
152 17357.49 13300.74 34066.57 23066.23 25248.59
153 22494.13 19326.39 19050.83 25210.36 47303.01
154 27184.51 22382.19 34905.99 13372.93 27701.69
155 27422.44 13081.74 20231.17 24648.29 28050.49
156 24871.96 20166.72 30812.59 19090.55 28143.17
157 25272.81 19165.83 23785.36 16033.85 26540.13
158 11254.78 23604.72 10826.68 17529.64 14465.82
159 24848.35 21727.21 27863.78 25158.15 28972.48
160 13488.96 12059.28 26674.2 19840.43 25916.56
161 29730.86 25177.42 18978.67 16145.04 39074.17
162 11640.56 8112.03 29831.96 31725.87 32623.33
163 18214.96 24604.46 14693.27 11434.96 23477.51
164 21600.68 17333.8 28054.24 27937.37 28769.25
165 29594.17 12638.58 14290.18 25684.21 36898.59
166 19496.76 23691.85 27889.32 17400.55 35725.52
167 29014.97 15672.22 22580.11 23276.8 30229.77
168 19282.19 25980.27 22442.06 18438.06 29489.37
169 24665.81 8725.29 18513 11339.82 32075.76
170 14106.55 19077.02 14625.5 30066.37 29224.1
171 9347.9 24775.41 30233.62 29942.23 38758.97
172 23692.83 17661.27 17236 34693.78 16074.26
173 29657.14 11285.63 25783.66 26090.93 22960.55
174 19342.73 17675.32 30467.52 32300.65 24037.26
175 25775.2 24494.97 21991.4 20184.9 26049.12
176 17508.93 27005.11 31916.18 29616.36 19190.1
177 21249.7 15675.93 16807.77 17234.83 27925.32
178 26481.73 22608.32 29277.21 25502.88 12710.49
179 22228.59 7323.33 17114.07 28062.11 35159.69
180 28164.02 25790.04 24698.9 20338.79 32827.72
181 18507.41 33447.55 18948.31 27004.8 10751.67
182 11395.43 12074.48 30264.55 12146.47 27358.44
183 18085.52 27510.26 23549.36 31964.08 32992.69
184 14098.04 25586.85 16550.31 23209.54 38002.15
185 22589.48 27902.55 12630.09 22810.18 39305.7
186 18903.99 16699.62 19835.43 32614.37 22210.44
187 22473.07 18792.03 23995 22489.19 24519.64
188 21354.76 11217.64 11269.94 25464.36 16496.21
189 18289.73 21847.25 17791.55 22104.81 34625.73
190 18037.67 20346.48 26893.08 16491.6 33800.63
191 18635.34 15973.63 17765.18 29428.36 26822.78
192 14812.54 22376.17 14346.38 30536.22 22044.3
193 22245.07 15911.23 24271.41 17797.68 41412.02
194 21158.51 19385.24 24880.9 28488.74 34936.87
195 17234.49 30232.12 17366.21 21417.64 23300.73
196 25024.05 26597.22 11225.79 9047.66 21515.06
197 17164.61 29424.24 22468.35 21308.43 19803.67
198 23435.78 25590.69 18500.34 23276.16 32772.84
199 12902.91 18085.57 12723.5 35053.43 33133.79
200 24976.83 18193.26 24958.98 25280.31 39963.76
201 20269.94 20510.89 12661.64 28544.99 31383.29
202 28899.94 15651.55 23102.27 19240.55 35804.63
203 16081.07 11504.01 19983.45 33355.09 37718.58
204 27535.72 16624.98 22882.64 14301.46 28325.53
205 17427.98 25782.51 12694.63 11177.03 16581.44
206 15444.8 24104.88 23937.21 28687.4 28987.93
207 26070.91 24051.21 19805.29 11013 15398.52
208 21858.75 16990.65 22931.42 34009.78 28339.98
209 11254.87 29457.54 26608.47 19551.36 16116.11
210 16325.08 12089.49 16119.43 23638.31 32937.82
211 23596.33 22136.96 14498.34 29834.8 25145.18
212 22828.79 27012.93 37014.54 30919.08 47264.07
213 17246.84 22377.93 24026.08 12175.12 28784.95
214 27098.25 27047.05 24287.56 23583.34 33982.41
215 16220.89 17901.01 26252.56 26260.58 41825.02
216 22433.15 18721.17 36733.84 21711.23 31909.04
217 17352.13 21255.72 23071.25 20130.17 33937.7
218 33963.38 20720.23 11255.67 17377.47 22545.75
219 15970.98 21812.24 21494.37 32403.25 43800.23
220 15014.18 41033.99 18832.35 24456.08 32507.03
221 7006.8 11538.83 17274.13 17085.72 20019.18
222 22672.48 15116.45 18707.9 17152.31 23201.64
223 17578.31 25717.21 14573.29 15608.74 37387.39
224 21022.5 16587.32 24892.53 21065.59 20027.09
225 14036.34 24200.73 18364.58 43855.14 12639.42
226 22658.49 26085.12 25474.3 16709.97 53037.37
227 19903.93 13677.74 15712.25 27871.79 43565.88
228 22751.96 22762.68 32061.27 21960.26 22239.49
229 8150.16 31284.26 28380.64 22241.21 24966.29
230 26906.08 19073.41 8386.62 36866.65 23928.63
231 26978.7 17444.14 32889.25 13912.02 25080.75
232 21625.78 31277.87 32435.08 25742.72 30770.07
233 11975.46 13541.03 16466.76 17652.25 23056.98
234 17172.03 18133.99 19877.92 12163.42 47206.03
235 30256.65 28015.98 21990.38 25394.8 23782.89
236 23637.75 20115.34 17975.05 26417.35 32069.09
237 23052.07 14682.34 23101.92 31848.36 13003.18
238 11867.01 20650.07 25538.11 28854.4 12881.1
239 19569.41 13982.72 22134.98 15089.92 30169.73
240 24985.19 27387.71 26342.42 29379.12 30452.21
241 27106.01 12561.14 25482.17 23353.88 32083.13
242 27726.49 33768.14 24493.56 22352.04 25829
243 20562.55 12990.52 38056.09 14720.46 23104.74
244 14574.39 19358.08 23853.14 23267.51 31886.13
245 16426.57 18258.48 15806.55 24250.53 43557.23
246 21737.87 21135.33 19497.94 12599.96 22194.64
247 22669.48 37576.19 8994.9 26932.23 38331.33
248 14037.71 19638.74 23418.24 15075.62 31613.1
249 23544.27 20863.9 43377.64 22745.23 30193.46
250 14546.85 15316.21 17874.45 24734.55 39419.15
251 30541.25 12279.79 9484.75 22217.48 31869.98
252 12097.76 25047.94 19422.84 26910.09 24790.1
253 26741.42 29799.84 27442.05 24056.85 24030.98
254 15805.94 17871.12 17927.74 19580.23 63655.28
255 22951.22 24069.77 26790.25 11248.45 14307.26
256 19593.34 18920.7 32396.66 24119.07 35350.49
257 23603.79 24440.13 17319.23 20764.19 19765.58
258 17676.97 33411.46 21419.86 22139.62 23030.87
259 14977.65 26019.16 15181.9 24171.02 34402.46
260 18834.43 11906.12 41906.49 27592.02 33626.92
261 16793.31 26682.63 11315.15 18716.99 13229.73
262 12154.5 13475.04 13488.9 20773.79 33730.6
263 12436.99 31314.72 11304.14 23366.37 16699.59
264 21907.22 17226.07 18777.94 14178.89 35129.18
265 22822.54 16379.71 13945.74 26284.08 45056.26
266 19574.46 22515.32 19752.6 28673.79 24403.27
267 18372.67 26510.43 24430.78 22295.64 44611.04
268 25101.14 12119.62 15134.34 23508.58 28090.17
269 23312.52 22495.57 23405.09 8540.14 27232.55
270 19480.8 11162.19 30709.67 32506.89 23474.85
271 23387.99 18485.58 13546.19 17240.74 19907.02
272 24674.02 22755.85 21530.33 38080.68 28078.42
273 31316.69 15155.18 17568.97 24385.27 22075.19
274 21244.95 7545.9 18749.22 31688.06 48300.2
275 14496.13 25228.78 36472.47 22812.49 29846.78
276 21067.04 19090.38 13933.4 34999.37 17168.35
277 17608.75 21709.85 27400.32 25061.8 30005.59
278 20377.62 26326.13 17441.18 18053.13 34079.01
279 17140.78 16830.32 22701.22 10372.4 34224.04
280 11362.89 24367.2 17660.46 8113.65 14070.95
281 27513.14 27964.65 27742.06 19556.64 23421.46
282 7384.17 16622.91 11259.54 20416.97 30546.42
283 19675.89 22030.22 35536.31 21577.13 54462.2
284 26071.25 16652.11 22645.41 34827.02 42944.34
285 22614.7 31923.86 32101.16 18984.37 39832.27
286 11416.59 16398.08 22596.64 26097.38 30901.15
287 25020.67 14267.66 27732.77 22170.6 27857.14
288 19937.27 21504.94 14546.39 23264.29 48339.56
289 14588.94 21970.78 23536.09 19097.31 14077.81
290 21926.53 23200.03 17195.13 21622.04 42328.56
291 14278.36 17755.69 5994.18 21993.79 40635.73
292 18833.51 14771.58 32118.44 28546.64 25303.73
293 16502 27913.97 18968.6 18823.48 17605.16
294 18917.21 14263.34 26140.19 30937.02 28284.32
295 8021.91 7741.37 18578.08 15156.87 26123.6
296 21768.69 26173.04 22243.04 23104.65 26346.39
297 14714.32 32717.32 14445.4 19692.78 49412.88
298 30651.94 14976.66 23137.16 38337.11 22336.25
299 13375.22 18820.33 21542.92 11252.67 33161.63
300 23560.01 32000.04 20695.56 25101.15 47635.17
301 24487.77 31975.28 22261.21 45158.07 24167.67
302 12431.41 15545.55 27532.46 36364.88 30291.95
303 20113.23 25103.72 38089.11 17732.99 31809.32
304 27738.64 21398.23 18756.64 23703.52 31255.43
305 19551.29 17866.42 11279.6 19755.43 19980.76
306 16770.69 14347.3 12091.31 22815.32 16181.7
307 24898.68 16513.81 19179.21 38755.04 36094.65
308 16259.33 22487.98 15638.15 20959.18 22445.55
309 19033.47 17842.32 27493.38 33164.92 20657.84
310 21296.8 15836.35 22288.3 18671.68 36578.82
311 15034.97 24645.66 9629.97 26757.91 34582.58
312 13257.51 11950.49 11270.7 28011.22 27493.4
313 22823.65 17880.21 36958.11 17779.66 18556.58
314 14858.71 17935.75 15519.87 8041.32 30412.15
315 19849.58 19590.89 10103.96 49541.5 26407.94
316 24689.9 22485.14 18750.48 18766.46 13181.78
317 15023.63 14936.69 11252.51 19013.32 30631.27
318 22789.38 31641.94 24235.33 11251.77 38389.65
319 25372.56 28532.17 27252.34 37041.82 28703.51
320 18163.16 15333.24 27277.53 13468.38 19021.5
321 24821.71 14280.19 20489.11 28326.42 37005.93
322 11285.48 29080.81 27435.97 17732.66 37502.82
323 11634.42 17042.73 22836.05 17808.82 43591.71
324 17055.11 8030.41 7948.7 21572.71 18052.3
325 22846.11 26055.79 24050.98 25869.47 42394.35
326 14759.44 18575.82 17188.46 34920.08 33188.08
327 23857.17 20321.66 23091.63 14384.62 42353.4
328 23425.95 24845.55 19065.83 21929.3 32150.61
329 15549.88 25126.26 26780.27 30709.67 18354.92
330 19100.68 24407.99 20461.13 25051.11 31085.02
331 23069.79 13189.69 25340.18 22229.97 13923.74
332 14889.72 16784.94 18073.18 16413.38 37370.37
333 20139.18 30202.25 15366 19878.7 25216.52
334 36594.91 28214.95 16299.62 21661.66 29539.96
335 28827.1 13810.52 23071.57 27960.58 37467.11
336 17184.44 14847.28 41596.53 14754.1 42018.28
337 22449.82 28546.62 11264.94 33845.56 23870.07
338 19470.64 16314.89 28104.85 22387.6 44436.3
339 22650.18 20201.1 15859.28 22620.49 13565.81
340 18321.47 22710 19445.37 17596.89 32089.65
341 30589.91 16914.63 24861.4 28386.47 12810.72
342 16641.79 16166.69 20917.7 23663.87 34087.61
343 20597.62 26064.67 35581.71 12229.13 29521.89
344 17378.89 20095.02 32204.17 17666.62 14415.84
345 31887.41 19732.49 12580.37 16966.3 12830.75
346 23798.79 25989.85 28916.36 24428.21 24866.31
347 13065.51 12486.93 17934.38 21681.02 28845.31
348 24833.83 23118.14 27663 18878.41 15419.02
349 29378.81 22017.9 29476.05 11245.16 31772.27
350 14384.46 16415.3 27936.84 26520.47 26677.63
351 20128.14 19666.67 21942.21 18820.66 26094.24
352 24679.23 20721.66 20965.86 25995.61 39400.79
353 19472.39 21604.41 25694.05 36030.21 16155.42
354 33346.11 14283.81 21838.57 12654.14 36065.28
355 16727.05 24998.75 11227.99 13882.67 19544.45
356 17644.71 34860.25 17753.52 26337.22 36848.25
357 28961.97 18311 17743.46 12738.05 25359.3
358 13333.75 19967.16 33259.69 22713.92 33349.55
359 25634.43 32413.37 21293.03 24317.9 19484.61
360 12980.03 9085.31 17238.69 24290.67 15781.45
361 18110.09 24115.1 25218.89 18703.11 25287.79
362 20761.94 7608.8 17475.76 19315.65 17930.58
363 28773.72 24186.3 26399.79 25092.28 27226.81
364 14532.72 7553.88 29507.26 22455.09 29556.7
365 16182.81 23265.1 13268.4 26774.55 48882.71
366 17995.98 6928.62 26971.86 30902.84 31729.73
367 22071.35 22810.79 17749.57 8693.84 20161.38
368 25074.39 28223.17 37452.28 29384.94 20803.67
369 26930.14 20840.74 11303.39 22303.74 30078.41
370 14415.76 15910.58 13363.93 20691.06 13071.68
371 17372.19 19283.95 22124.9 31982.45 34080.88
372 13750.89 21274.78 31149.1 27287.74 24772.57
373 19245.03 33256.45 15743.42 26682.42 20551.36
374 25676.46 14349.32 19649.91 17446.44 25320
375 16423.69 17403.25 23745.84 27905.76 19265.81
376 27186.11 26594.44 11638.67 28828.76 26310.76
377 26410.62 24885.51 24263.35 23167.77 24290.52
378 15927.49 27747.82 24541.9 28198.44 27763.24
379 13428.9 32935.53 19068.61 20651.95 39239.68
380 18122.4 19966.08 16740.79 52871.9 27179.48
381 7283.61 22937.2 31280.28 13729.33 28015.92
382 27976.51 27086.83 26779.21 20566.68 43643.15
383 26232.69 18051.43 23147.44 22076.8 14409.39
384 20415.28 22573.81 18599.41 31880.17 53760.25
385 19699.35 22878.96 9747.27 15017.81 16613.88
386 16967.55 18212.81 18203.72 23214.69 33822.03
387 18492.17 22276.79 25291.51 26752.91 25739.45
388 24116.97 19836.37 14188.99 15229.71 49130.56
389 13482.49 24484.14 16321.85 33049.57 22745.42
390 20726.91 30415.61 19055.21 21425.21 32620.83
391 11854.38 11723.89 14479.25 20720.41 31271.18
392 25212.98 22352.84 31177.01 17625.27 16873.6
393 35107.41 7317.96 11245.83 24963.68 30693.01
394 14855.05 26878.57 13857.68 13794.33 33371.45
395 21907.32 30796.88 16913.67 28144.96 15917.88
396 11559.25 12899.74 26134.97 20973.19 41376.31
397 21334.08 21780.43 20068.51 27742.5 30690.44
398 13827.22 22491.81 21907.96 19054.51 14709.79
399 22267.87 25165.16 25063.21 18535.98 24824.93
400 17351.81 11809.16 7731.68 19137.6 39218.49
401 22545.33 22574.84 22618.17 27279.46 13499.49
402 19762.21 25602.22 18705.41 17951.58 36891.95
403 28552.82 30076.73 11484.72 32392.21 37080.65
404 29815.2 19097.16 27611.36 11316.36 18226.64
405 21222.16 15064.36 20048.85 37144.54 36715.59
406 15034.2 25273.1 8766.47 32333.7 26106.25
407 33419.42 20251.52 21722.66 22786.75 44729.92
408 21314.76 15959.31 22986.61 16951.27 19688.2
409 17369.89 20918.27 25073.11 34994.66 43815.23
410 6340.62 19914.31 18462.51 22821.3 27949.1
411 22773.8 11242.39 11247.2 28970.82 42365.35
412 25591.01 18829.33 16545.8 20350.22 17432.98
413 15513.36 36536.65 25600.63 31839.95 16181.79
414 15905.63 20312.48 20024.08 20895.38 22637.17
415 21691.55 26217.38 28328.47 24471.19 40161.53
416 17383.84 22629.55 18368.77 20291 24115
417 11305.23 29979.33 15083.4 21787.41 31768.74
418 20518.26 13021.45 21360.12 23596.09 18379.2
419 25305.93 24150.77 17929.23 29717.92 29435.23
420 22355.73 20362.57 32078.59 11553.04 29640.73
421 22970.22 7169.07 19501.63 20996.73 38364
422 27008.28 22098.96 19455.65 29980.87 38294.21
423 18364.01 28286.14 23892.41 11835.45 33416.73
424 23498.98 20331.19 29280.54 17985.49 29891.32
425 14941.34 15282.62 21013.59 36438.95 27406.48
426 25122.56 8530.95 25135.42 22522.16 21233.23
427 17725.28 23977.26 31511.21 24546.28 35556.31
428 19096.49 20150.75 17054.56 26233.89 18859.28
429 27718.75 20328.06 19041.33 15512.05 31745.26
430 17837.13 18687.65 21665.32 13397.41 22968.37
431 16342.59 11385.78 18438.71 37390.97 19749.83
432 21917.32 31474.28 9895.18 19158.85 25073.97
433 16240.45 13727.7 20302.02 32256.22 17274.89
434 22098.16 13654.79 22256.37 20039.78 25658.81
435 14056.05 24964.9 40845.27 17062.51 32274.05
436 18023.99 13546.51 19722.06 21653.62 29234.67
437 19358.39 24519.96 20004.57 31916.64 21361.19
438 17948.96 23639.99 26821.83 17851.65 28859.57
439 23094.92 20967.9 29238.22 18492.44 28648.27
440 19147.84 20854.9 24968.17 25000.01 28469.25
441 21442.11 21764.14 26513.91 12409.16 36423.24
442 14983.92 16803.87 15051.37 13655.02 17989.51
443 28346.54 27688.99 27132.98 25209.57 39142.24
444 19054.09 27524.27 17254.44 23855.7 12614.29
445 20801.25 13807.47 19808.28 21183.85 46047.12
446 19637.74 17621.57 19015.52 13771.95 46514.61
447 13918.4 22185.21 18330.76 23791.95 25677
448 16231.59 33274.94 23981.13 9127.06 31644.93
449 16094.91 21253.93 18713.12 23370.48 12790.29
450 20734.36 14236.46 25633.38 50399.26 14731.88
451 24067.57 34653.35 31769.81 29023.33 37587.83
452 13187.74 25872.23 24398.36 27738.64 34244.13
453 24988.33 14218.82 28103.77 18227.04 23567.32
454 25863.32 20727.5 17563.65 29100.16 57932.83
455 24641.71 16726.61 10063.69 23399.51 19283.31
456 16275.01 20687.6 22328.76 24650.25 28137.1
457 16158.94 16476.32 31864.59 25460.9 29516.36
458 7714 57782.74 17698.63 28901.98 26630.75
459 17703.38 15356.76 18280.71 17425.49 31741.71
460 18506.22 25950.29 26872.44 26557.37 23502.65
461 14378.44 19642.19 19784.13 13728.65 28572.75
462 23413.2 28113.39 11252.64 34578.78 32698.35
463 19961.96 20584.19 19923.15 16590.59 18878.73
464 20396.98 22241.05 20713.52 30134.36 37559.61
465 19858.93 22591.88 15582.81 25492.43 21743.29
466 20463.48 22723.82 25809.54 21244.04 40630.39
467 15256.09 22063.44 31637.19 11182.55 35172.99
468 27355.24 23121.66 19037.47 23907.76 12546.72
469 25226.96 12933.5 29323.07 25739.91 31729.3
470 18918.57 11257.7 22527.88 21278.21 14097.94
471 17425.51 21386.25 13414.63 20404.6 27530.7
472 29692.78 19154.84 18590.41 24066.54 31453.59
473 21787.22 19463.08 16503.23 24408.1 33552.66
474 25158.38 21971.9 24680.67 16686.19 22813.29
475 18710.42 16769.44 18501.01 23339.1 20815.94
476 31236.47 21943.81 18494.67 40786.51 29223.98
477 19370.58 30066.04 43321.46 21886.09 35134.28
478 14492.2 16866.52 14664.91 21021.9 22580.93
479 20879.39 11433.04 24457.4 25202.57 52738.46
480 11810.57 23095.5 25420.73 11724.16 28657.6
481 19058.62 8067.61 16844.15 26301.24 29792.62
482 18640.82 18058.2 20076.7 17410.44 12721.81
483 24992.46 24926.16 28706.04 28471.4 18468.85
484 17325.74 21565.42 18674.46 32124.15 27818.88
485 17783.41 15721.29 11251.8 25663.79 39048.3
486 15579.46 23536.99 19502.36 17297.82 12574.37
487 29661.34 16239.6 22981.56 35210.23 31711.03
488 17546.91 19615.86 14461.75 19083.1 38240.32
489 17316.17 13960.1 25191.54 16311.07 19450.64
490 17920.35 19362.38 14329.13 17793.48 27736.09
491 22183.5 12058.8 28631.06 23015.71 21696.84
492 14149.62 21858.68 19931.15 11628.85 39441.45
493 21170.02 11250.38 22376.35 27945.89 25534.75
494 22765.49 15137.45 22067.25 21090.92 29293.25
495 11294.86 22012.36 27276.76 15353.68 38426.86
496 32881.59 26587.47 20014.28 26745.21 29186.93
497 16601.2 18553.1 29178.18 29244.29 31520.66
498 16201.95 21185.85 14447.51 18496.38 37546.68
499 23021.2 20503.89 15295.98 31377.36 36971
500 16356.47 19152.09 23379.61 19277.32 31621.29
501 33663.2 24179.86 17788.23 24059.33 23821.6
502 24094.57 21921.31 25006.32 19563.01 12801.44
503 11516.79 30176.92 23736.39 21147.9 49958.89
504 18507.74 22058.92 16863.78 21785.37 19261.5
505 25454.94 30662.62 23010.03 33591.29 46122.88
506 13168.49 20414.52 34984.65 11241.01 45621.07
507 21117.78 15557.55 25955.73 13275.11 33076.18
508 27228.7 25833.09 22016.06 32561.13 28716.53
509 11938.57 24919.68 15117.69 10399.57 38783.26
510 17182.42 7613.47 23434.65 21660.03 28291.62
511 19603.17 18745.63 18014.45 43996.02 50621.12
512 20086.15 28863.78 17627.51 26563.68 15116.73
513 13834 16480.72 15725.71 24403.46 36369.49
514 22541.85 19287.64 22410.59 26340.97 19142.58
515 23669.43 26720.62 14186.47 12405.15 25983.56
516 16682.87 18068.81 12379.66 11250.61 23831.22
517 21425.1 31073.72 25884.53 26895.18 21812.04
518 20653.81 21665.56 25715.9 18477.49 31182.71
